Date,EUR_USD_Close
2013-04-18,1.3053
2013-04-19,1.3053
2013-04-22,1.306
2013-04-23,1.2996
2013-04-24,1.3018
2013-04-25,1.3005
2013-04-26,1.303
2013-04-29,1.3093
2013-04-30,1.3167
2013-05-01,1.3175
2013-05-02,1.3063
2013-05-03,1.3114
2013-05-06,1.3075
2013-05-07,1.3073
2013-05-08,1.3154
2013-05-09,1.3033
2013-05-10,1.2985
2013-05-13,1.2968
2013-05-14,1.294
2013-05-15,1.288
2013-05-16,1.2874
2013-05-17,1.2829
2013-05-20,1.2887
2013-05-21,1.2909
2013-05-22,1.2852
2013-05-23,1.2931
2013-05-24,1.2934
2013-05-27,1.2929
2013-05-28,1.2871
2013-05-29,1.2936
2013-05-30,1.3047
2013-05-31,1.2997
2013-06-03,1.3074
2013-06-04,1.3082
2013-06-05,1.3094
2013-06-06,1.3243
2013-06-07,1.3216
2013-06-10,1.3257
2013-06-11,1.3305
2013-06-12,1.3332
2013-06-13,1.3366
2013-06-14,1.3348
2013-06-17,1.3376
2013-06-18,1.3401
2013-06-19,1.3277
2013-06-20,1.322
2013-06-21,1.3124
2013-06-24,1.313
2013-06-25,1.3097
2013-06-26,1.3012
2013-06-27,1.3043
2013-06-28,1.3015
2013-07-01,1.3063
2013-07-02,1.2978
2013-07-03,1.3006
2013-07-04,1.2918
2013-07-05,1.283
2013-07-08,1.2868
2013-07-09,1.2787
2013-07-10,1.3023
2013-07-11,1.3114
2013-07-12,1.3065
2013-07-15,1.3069
2013-07-16,1.316
2013-07-17,1.3119
2013-07-18,1.3105
2013-07-19,1.3142
2013-07-22,1.3186
2013-07-23,1.3221
2013-07-24,1.3196
2013-07-25,1.3291
2013-07-26,1.3281
2013-07-29,1.3265
2013-07-30,1.3262
2013-07-31,1.3301
2013-08-01,1.3206
2013-08-02,1.3281
2013-08-05,1.3258
2013-08-06,1.3309
2013-08-07,1.3339
2013-08-08,1.338
2013-08-09,1.3344
2013-08-12,1.3308
2013-08-13,1.3264
2013-08-14,1.3259
2013-08-15,1.3355
2013-08-16,1.3332
2013-08-19,1.334
2013-08-20,1.3419
2013-08-21,1.3365
2013-08-22,1.335
2013-08-23,1.3383
2013-08-26,1.3375
2013-08-27,1.3389
2013-08-28,1.3341
2013-08-29,1.3243
2013-08-30,1.3216
2013-09-02,1.3184
2013-09-03,1.3171
2013-09-04,1.3212
2013-09-05,1.3117
2013-09-06,1.3178
2013-09-09,1.3257
2013-09-10,1.3269
2013-09-11,1.3308
2013-09-12,1.33
2013-09-13,1.3303
2013-09-16,1.3336
2013-09-17,1.3354
2013-09-18,1.3529
2013-09-19,1.3529
2013-09-20,1.3522
2013-09-23,1.3497
2013-09-24,1.347
2013-09-25,1.3528
2013-09-26,1.348
2013-09-27,1.3521
2013-09-30,1.3519
2013-10-01,1.3534
2013-10-02,1.3587
2013-10-03,1.3617
2013-10-04,1.3554
2013-10-07,1.3574
2013-10-08,1.3575
2013-10-09,1.3518
2013-10-10,1.3527
2013-10-11,1.355
2013-10-14,1.3565
2013-10-15,1.3517
2013-10-16,1.3528
2013-10-17,1.3675
2013-10-18,1.3678
2013-10-21,1.3678
2013-10-22,1.3778
2013-10-23,1.3779
2013-10-24,1.3801
2013-10-25,1.3809
2013-10-28,1.3803
2013-10-29,1.3742
2013-10-30,1.3728
2013-10-31,1.3585
2013-11-01,1.3489
2013-11-04,1.3519
2013-11-05,1.3471
2013-11-06,1.3521
2013-11-07,1.342
2013-11-08,1.336
2013-11-11,1.3408
2013-11-12,1.3428
2013-11-13,1.3462
2013-11-14,1.346
2013-11-15,1.3493
2013-11-18,1.3497
2013-11-19,1.3535
2013-11-20,1.3426
2013-11-21,1.3465
2013-11-22,1.3548
2013-11-25,1.3519
2013-11-26,1.3569
2013-11-27,1.3571
2013-11-28,1.3601
2013-11-29,1.3587
2013-12-02,1.3537
2013-12-03,1.3591
2013-12-04,1.3585
2013-12-05,1.3671
2013-12-06,1.3702
2013-12-09,1.3738
2013-12-10,1.3765
2013-12-11,1.3788
2013-12-12,1.3745
2013-12-13,1.3732
2013-12-16,1.3764
2013-12-17,1.3767
2013-12-18,1.3696
2013-12-19,1.3655
2013-12-20,1.3677
2013-12-23,1.3693
2013-12-24,1.3675
2013-12-25,1.3695
2013-12-26,1.3692
2013-12-27,1.374
2013-12-30,1.3798
2013-12-31,1.3774
2014-01-01,1.3745
2014-01-02,1.3655
2014-01-03,1.3587
2014-01-06,1.3634
2014-01-07,1.3614
2014-01-08,1.3581
2014-01-09,1.3607
2014-01-10,1.3665
2014-01-13,1.3668
2014-01-14,1.3681
2014-01-15,1.3604
2014-01-16,1.3617
2014-01-17,1.3524
2014-01-20,1.3562
2014-01-21,1.3558
2014-01-22,1.3548
2014-01-23,1.3694
2014-01-24,1.368
2014-01-27,1.3672
2014-01-28,1.3666
2014-01-29,1.3661
2014-01-30,1.355
