Date,EUR_USD_Close,EUR_USD_High,EUR_USD_Low,USD_JPY_Close,USD_JPY_High,USD_JPY_Low,USD_CHF_Close,USD_CHF_High,USD_CHF_Low,GBP_USD_Close,GBP_USD_High,GBP_USD_Low,USD_CAD_Close,USD_CAD_High,USD_CAD_Low,EUR_GBP_Close,EUR_GBP_High,EUR_GBP_Low,EUR_JPY_Close,EUR_JPY_High,EUR_JPY_Low,EUR_CHF_Close,EUR_CHF_High,EUR_CHF_Low,AUD_USD_Close,AUD_USD_High,AUD_USD Low,GBP_JPY_Close,GBP_JPY_High,GBP_JPY_Low,CHF_JPY_Close,CHF_JPY_High,CHF_JPY_Low,GBP_CHF_Close,GBP_CHF_High,GBP_CHF_Low,NZD_USD_Close,NZD_USD_High,NZD_USD_Low
2016-05-10,1.13691,1.14097,1.13586,109.24,109.35,108.278,0.9756,0.97601,0.9699,1.4434,1.44779,1.43896,1.2911,1.29798,1.29109,0.7875,0.7905,0.7871,124.2,124.45,123.29,1.1093,1.11034,1.10515,0.7364,0.7374,0.73006,157.69,157.916,156.083,111.95,112.29,111.5,1.4083,1.40932,1.39872,0.6761,0.67781,0.67167
2016-05-11,1.14234,1.1447,1.13699,108.472,109.344,108.375,0.97123,0.97604,0.96993,1.44506,1.44879,1.43952,1.28405,1.29419,1.28307,0.79044,0.792,0.7865,123.914,124.35,123.608,1.10952,1.1108,1.10812,0.7379,0.74021,0.73361,156.74,157.956,156.42,111.675,112.04,111.42,1.40353,1.41033,1.40204,0.683,0.68456,0.67801
2016-05-12,1.1371,1.1429,1.13722,109.075,109.394,108.23,0.9707,0.97255,0.9664,1.4447,1.45308,1.44069,1.28365,1.28781,1.2772,0.7869,0.79187,0.78462,124.043,124.645,123.696,1.104,1.10993,1.1027,0.73248,0.73794,0.73106,157.58,158.483,156.269,112.32,112.752,111.45,1.40277,1.40746,1.39799,0.68162,0.68477,0.68051
2016-05-13,1.13188,1.13796,1.12832,108.619,109.554,108.519,0.9742,0.97741,0.97022,1.43721,1.44521,1.4341,1.29333,1.29578,1.28368,0.78734,0.78825,0.7857,122.9,124.14,122.76,1.1024,1.1052,1.10157,0.72693,0.73236,0.72544,156.135,157.631,155.986,111.465,112.375,111.32,1.40031,1.40344,1.3982,0.67746,0.68301,0.67564
2016-05-16,1.13195,1.13422,1.13027,108.98,109.095,108.47,0.97765,0.9784,0.97481,1.4393,1.4416,1.43332,1.28983,1.29626,1.2875,0.78639,0.78935,0.7859,123.372,123.507,122.626,1.10687,1.10722,1.10223,0.7291,0.73087,0.72394,156.84,157.085,155.691,111.44,111.63,111.219,1.40745,1.40837,1.39929,0.6791,0.68089,0.67473
2016-05-17,1.1319,1.13482,1.13024,109.02,109.652,108.842,0.9794,0.98037,0.97516,1.44568,1.45241,1.4404,1.2915,1.2955,1.2838,0.7828,0.7858,0.7801,123.41,124.2,123.25,1.1089,1.1093,1.1058,0.73237,0.73663,0.72829,157.62,158.975,157.028,111.26,112.11,111.26,1.4162,1.41959,1.40806,0.6807,0.68426,0.67794
2016-05-18,1.12195,1.13159,1.12196,110.18,110.254,108.728,0.987,0.98748,0.97994,1.4582,1.46343,1.4404,1.30183,1.30274,1.28949,0.76923,0.7832,0.7691,123.621,123.94,122.968,1.1075,1.10967,1.10654,0.72242,0.73253,0.72228,160.715,160.778,157.036,111.59,111.92,110.9,1.43977,1.44007,1.41585,0.6728,0.68101,0.67304
2016-05-19,1.1202,1.123,1.11803,109.92,110.383,109.702,0.9902,0.99222,0.9863,1.4618,1.46636,1.45619,1.30941,1.31544,1.30115,0.7662,0.7704,0.7649,123.154,123.776,122.936,1.1094,1.10986,1.1068,0.7224,0.72419,0.71765,160.689,161.639,160.152,110.98,111.71,110.86,1.4472,1.44905,1.43903,0.67444,0.67648,0.67103
2016-05-20,1.1214,1.12372,1.11967,110.116,110.586,109.853,0.99102,0.99267,0.98967,1.44859,1.46134,1.44863,1.31263,1.3162,1.30775,0.7739,0.7743,0.7669,123.485,124.041,123.066,1.1114,1.11289,1.10957,0.7221,0.7249,0.72123,159.51,161.15,159.53,111.1,111.56,110.865,1.4357,1.44875,1.43591,0.6764,0.6781,0.67374
2016-05-23,1.12146,1.1243,1.11878,109.23,110.24,109.115,0.98938,0.99233,0.98838,1.448,1.45486,1.44429,1.31431,1.31737,1.30998,0.77438,0.7754,0.77054,122.538,123.72,122.39,1.10983,1.11235,1.10937,0.72227,0.72597,0.71954,158.198,160.53,158.06,110.42,111.24,110.25,1.43273,1.44184,1.43219,0.6765,0.68069,0.67486
2016-05-24,1.11403,1.12269,1.1133,110.001,110.128,109.17,0.9931,0.99374,0.98917,1.4624,1.46422,1.44782,1.31441,1.31881,1.30864,0.76158,0.775,0.76124,122.545,122.727,122.355,1.1063,1.11138,1.106,0.71758,0.72283,0.71453,160.86,161.042,158.132,110.73,110.923,110.2,1.4522,1.45337,1.43247,0.6733,0.67659,0.67058
2016-05-25,1.11604,1.1167,1.11292,110.14,110.446,109.869,0.99066,0.99347,0.9897,1.47122,1.47289,1.46015,1.3034,1.31334,1.30257,0.75854,0.76393,0.7564,122.92,123.13,122.52,1.1055,1.1068,1.10388,0.72,0.72189,0.7174,162.02,162.521,160.454,111.17,111.428,110.72,1.4575,1.46008,1.4479,0.6767,0.6773,0.67342
2016-05-26,1.11901,1.1217,1.11501,109.75,110.23,109.421,0.98904,0.99282,0.98724,1.46618,1.47393,1.46407,1.2984,1.30377,1.29115,0.76311,0.76346,0.75792,122.806,123.1,122.265,1.10678,1.10865,1.10525,0.72163,0.72434,0.71621,160.9,162.172,160.739,110.95,111.2,110.549,1.45009,1.46124,1.4498,0.67461,0.67666,0.66926
2016-05-27,1.1113,1.12006,1.11119,110.37,110.45,109.477,0.9942,0.99456,0.98863,1.4608,1.46885,1.46054,1.30324,1.30682,1.2969,0.76059,0.76442,0.76036,122.65,123.081,122.228,1.10499,1.10792,1.10414,0.7183,0.72345,0.71726,161.23,161.419,160.167,110.937,111.18,110.47,1.4522,1.45401,1.44791,0.6693,0.67581,0.6688
2016-05-30,1.1134,1.1145,1.10983,111.127,111.449,110.35,0.99332,0.99561,0.99203,1.46339,1.4642,1.4588,1.30488,1.30947,1.30257,0.7608,0.76322,0.75899,123.734,123.9,122.51,1.1057,1.1071,1.10425,0.71841,0.71872,0.71492,162.623,162.887,161.13,111.851,112.14,110.88,1.4536,1.45583,1.44834,0.6692,0.67058,0.66762
2016-05-31,1.11338,1.11732,1.11224,110.614,111.352,110.506,0.9932,0.99508,0.98869,1.4491,1.47245,1.4465,1.3107,1.31341,1.30176,0.76819,0.76962,0.75732,123.162,124.19,122.98,1.10582,1.1074,1.103,0.72274,0.72669,0.71815,160.298,163.893,159.866,111.36,112.34,111.2,1.43918,1.4604,1.43725,0.67584,0.67761,0.66895
2016-06-01,1.11923,1.1193,1.11143,109.49,110.83,109.055,0.98782,0.9951,0.98624,1.4411,1.45076,1.43864,1.306,1.3122,1.3043,0.77649,0.7767,0.7671,122.562,123.312,121.9,1.10561,1.10696,1.10245,0.7257,0.72991,0.72278,157.8,160.66,157.24,110.83,111.51,110.35,1.4235,1.4417,1.42245,0.6819,0.68298,0.67641
2016-06-02,1.1147,1.12198,1.11457,108.87,109.586,108.528,0.9907,0.99103,0.9858,1.4427,1.44727,1.44078,1.3104,1.31437,1.30563,0.77261,0.7776,0.772,121.373,122.58,121.069,1.1045,1.10677,1.1037,0.7224,0.72691,0.72018,157.089,157.956,156.593,109.87,110.83,109.64,1.4293,1.43101,1.42236,0.68011,0.6834,0.67799
2016-06-03,1.13518,1.1354,1.11367,106.62,109.136,106.553,0.97629,0.992,0.97545,1.4516,1.45817,1.43997,1.2941,1.31064,1.29162,0.7818,0.78226,0.772,121.05,121.674,120.833,1.10841,1.1106,1.10359,0.73661,0.73676,0.72189,154.773,157.27,154.739,109.18,110.174,109.05,1.41729,1.43134,1.41671,0.69563,0.69602,0.6802
2016-06-06,1.13656,1.13928,1.1327,107.48,107.556,106.383,0.9702,0.97758,0.96821,1.44538,1.45158,1.43538,1.2816,1.29822,1.28068,0.78626,0.79053,0.782,122.16,122.214,120.838,1.10293,1.10982,1.10246,0.7369,0.73886,0.7316,155.349,155.412,152.978,110.74,110.8,108.97,1.4022,1.41686,1.40008,0.6925,0.69626,0.69051
2016-06-07,1.1359,1.13804,1.13388,107.33,107.901,107.157,0.9653,0.97136,0.96452,1.4545,1.46602,1.44447,1.276,1.2839,1.27608,0.78092,0.7863,0.77533,121.93,122.697,121.664,1.09661,1.10331,1.09633,0.7456,0.74581,0.736,156.1,157.953,155.011,111.16,111.78,110.556,1.4039,1.42219,1.40199,0.6971,0.6983,0.68935
2016-06-08,1.13943,1.14105,1.13548,107.02,107.384,106.59,0.9593,0.96589,0.95816,1.4507,1.46006,1.45014,1.27005,1.27603,1.2655,0.7853,0.78597,0.7794,121.95,121.974,121.34,1.09323,1.09853,1.0927,0.74744,0.74821,0.74305,155.27,156.257,154.79,111.54,111.572,110.63,1.392,1.40591,1.39064,0.70177,0.70275,0.69454
